Rk,Tm,G,PA,TYds,TY/P,TO,FL,PYds,TD,Int,NY/A,RYds,TD,Y/A,Sc%,TO%,
1,San Francisco 49ers,17,277,5110,5,30,10,3789,20,20,5.9,1321,11,3.4,25.7,15.3,
2,Buffalo Bills,16,286,5106,5.1,27,10,3433,21,17,5.6,1673,10,4.3,31,14.3,
3,Baltimore Ravens,17,315,5513,5.3,25,11,3947,20,14,6.2,1566,11,3.9,35.8,13.9,
4,New York Jets,17,316,5288,4.8,16,4,3220,15,12,5.4,2068,14,4.2,32.3,8.3,
5,Cincinnati Bengals,16,322,5371,5.4,24,11,3665,17,13,6.2,1706,12,4.2,36.4,13.1,
6,Dallas Cowboys,17,342,5613,5.1,33,17,3415,23,16,5.7,2198,9,4.4,33.5,16.2,
7,Washington Commanders,17,343,5178,5.2,18,9,3252,26,9,5.8,1926,10,4.4,31.5,7.6,
8,Philadelphia Eagles,17,344,5125,4.8,27,10,3057,22,17,4.9,2068,15,4.6,32.4,15.1,
9,New Orleans Saints,17,345,5352,5,14,7,3134,17,7,5.4,2218,14,4.5,34.8,7.1,
10,Pittsburgh Steelers,17,346,5617,5.5,23,3,3779,29,20,6.5,1838,7,4.2,37.3,13,
11,New England Patriots,17,347,5474,5,30,11,3681,28,19,5.7,1793,7,4.1,30.5,14.2,
12,Jacksonville Jaguars,17,350,6006,5.4,27,13,4055,25,14,6.4,1951,14,4.2,36.1,14.4,
13,Tampa Bay Buccaneers,17,358,5513,5.1,20,10,3461,29,10,5.6,2052,12,4.5,33,10.2,
14,Denver Broncos,17,359,5440,5,23,8,3574,20,15,5.6,1866,12,4.3,35.9,10.6,
15,Tennessee Titans,17,359,5978,5.4,20,6,4671,29,14,6.6,1307,9,3.4,33.9,10.6,
16,Kansas City Chiefs,17,369,5579,5.1,20,9,3756,33,11,5.6,1823,10,4.4,35.9,10.3,
17,Green Bay Packers,17,371,5721,5.8,24,7,3349,22,17,6.5,2372,18,5,38.2,13.9,
18,New York Giants,17,371,6089,5.6,19,13,3638,21,6,6,2451,16,5.2,39.8,8.8,
19,Carolina Panthers,17,374,5953,5.4,17,7,3868,25,10,6.3,2085,17,4.3,34.2,8.3,
20,Cleveland Browns,17,381,5631,5.4,20,9,3336,20,11,6,2295,22,4.7,38.5,10.2,
21,Los Angeles Chargers,17,384,5884,5.9,24,10,3406,24,14,6.2,2478,17,5.4,37.2,11.2,
22,Los Angeles Rams,17,384,5798,5.5,22,6,3842,23,16,6.5,1956,12,4.3,41,12.1,
23,Atlanta Falcons,17,386,6156,5.7,17,7,3942,26,10,6.8,2214,15,4.4,43.5,10,
24,Miami Dolphins,17,399,5743,5.3,14,6,3992,27,8,6,1751,15,4.1,37.5,7.6,
25,Seattle Seahawks,17,401,6149,5.5,25,11,3595,23,14,6.1,2554,21,4.9,37.2,12.2,
26,Las Vegas Raiders,17,418,6216,5.8,13,7,4129,25,6,6.7,2087,20,4.5,40.8,7.3,
27,Houston Texans,17,420,6452,5.7,27,11,3558,15,16,6.3,2894,25,5.1,35.2,11.9,
28,Minnesota Vikings,17,427,6608,5.9,25,10,4515,23,15,6.9,2093,18,4.5,41.1,12,
29,Detroit Lions,17,427,6670,6.2,22,10,4179,26,12,7,2491,22,5.2,41.2,11.9,
30,Indianapolis Colts,17,427,5678,5.2,21,11,3569,25,10,6.1,2109,20,4.1,36,10.2,
31,Arizona Cardinals,17,449,5931,5.5,20,9,3915,29,11,6.2,2016,21,4.5,41.6,10.5,
32,Chicago Bears,17,463,6390,6.1,23,9,3716,22,14,7.4,2674,31,4.9,41.8,11.9,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
